[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
[MALE] had a large walnut tree in his yard .|||[MALE] had to get a permit to cut it down because it was in a public right of way . the permit cost $ 500 .
[MALE] 's daughter had cancer .|||[MALE] was devastated when his daughter was diagnosed with cancer . he felt like he had lost everything . despite the prognosis , [MALE] remained hopeful and did everything he could to support his daughter . ultimately , his daughter beat cancer and [MALE] was overjoyed .
the man baked the bread .|||he mixed the dough and let it rise . he put it in the oven and let it bake . he took it out and let it cool . the man sliced the bread and put it in a bag .
[MALE] got cancer .|||[MALE] was devastated when he found out he had cancer . he did n't know how to tell his wife or kids . he was scared and did n't know what to do .
one evening while coming home from a nice dinner with her husband .|||she was walking on the side of the road and she saw a man walking towards her . as he got closer she could see that he was extremely dirty and he had a crazy look in his eyes . she quickly crossed the street and ran the rest of the way home .
[MALE] lost all his belongings .|||[MALE] lost all his belongings in a house fire . he was left with nothing but the clothes on his back . he was devastated .
[FEMALE] was nervous for her first day of school .|||she woke up early and got dressed . she ate a light breakfast and put on some deodorant . she double-checked her backpack and grabbed her house key . she was ready to go .
[MALE] went to work for his father 's business .|||[MALE] started at the bottom and worked his way up . he learned the business from the ground up . he loved it because he said his father was a great teacher .
[MALE] was at the bar .|||he was at the bar , and he saw a really cute girl . he did n't know how to talk to girls , so he just bought her a drink .
[FEMALE] was rushing around the house before work .|||she had to leave in 10 minutes and she was still in her pajamas . she looked out the window and saw the bus driving away . she had no choice but to run out the door and hope for the best .
[MALE] and [MALE] were about to leave for the ball game .|||`` okay , boys , let 's go , '' said [MALE] 's mom . [MALE] and [MALE] were about to leave for the ball game . [MALE] was really excited because the game was going to be a close one . [MALE] knew that if they won , their team would be in the playoffs .
[MALE] woke up late at night .|||[MALE] wakes up late at night and realizes he has to get up early for work . he tries to go back to sleep , but he ca n't stop thinking about the meeting he has to attend . he gets out of bed and starts getting ready for work .
